,Season,Week_Number,Week_Name,Baker,Gender,Age,Signature_Handshake,Technical_Rank,Showstopper_Handshake,Favorite,Least_Favorite,Star_Baker,Eliminated,Winner,signature,showstopper
0,2,1,Cake,Ben,M,31,0,2,0,0.0,0,0,0,0,Rhubarb and Custard CupcakesAfter Dinner Cupcakes,Vanilla Sponge with White Chocolate and Raspberry Buttercream
1,2,1,Cake,Holly,F,31,0,1,0,0.0,0,1,0,0,Cherry Bakewell Inspired CupcakesGinger Cupcakes with Fig Truffle,Novelty Farm Cake
2,2,1,Cake,Ian,M,40,0,10,0,0.0,0,0,0,0,Apple and Cinnamon Cupcakes,Unknown
3,2,1,Cake,Janet,F,63,0,8,0,0.0,0,0,0,0,Raspberry and Cream Cupcakes,Chocolate Marble Cakewith Dark and White Chocolate Truffles
4,2,1,Cake,Jason,M,19,0,6,0,0.0,0,0,0,0,Lemon Meringue CupcakesApple and Cinnamon Cupcakes,Unknown
5,2,1,Cake,Joanne,F,41,0,11,0,1.0,0,0,0,1,Chocolate Orange CupcakesOrange and Cardamom Cupcakes,Chocolate and Strawberry Cake
6,2,1,Cake,Keith,M,31,0,12,0,0.0,0,0,1,0,Earl Grey Cupcakes,Chocolate and Sour Cream Cake
7,2,1,Cake,Mary-Anne,F,45,0,4,0,0.0,0,0,0,0,Banoffee Cupcakes,Chocolate and Raspberry Opera Cake
8,2,1,Cake,Robert,M,25,0,3,0,0.0,1,0,0,0,Blackberry and Vanilla Cupcakeswith Liquorice Frosting,Genoise Layered Mousse Cakewith Chocolate Ganache
9,2,1,Cake,Simon,M,31,0,9,0,0.0,1,0,0,0,Guinness and Chocolate Cupcakes,Two-Tiered Chocolate Courgette Cake
10,2,1,Cake,Urvashi,F,40,0,7,0,0.0,0,0,0,0,Cherry Blossom CupcakesJapanese Lime Cupcakes,Orange Blossom Celebration Cake
11,2,1,Cake,Yasmin,F,43,0,5,0,0.0,0,0,0,0,Cardamom and Pomegranate Cupcakes,Unknown
12,2,2,Tarts,Ben,M,31,0,1,0,0.0,0,0,0,0,"Chorizo, Pepper and Gruyere Quiche",Lemon Meringue Tarts
13,2,2,Tarts,Holly,F,31,0,4,0,0.0,0,0,0,0,Pesto Quiche,Milk Chocolate and Pistachio TartsTrifle Tarts
14,2,2,Tarts,Ian,M,40,0,2,0,1.0,0,0,0,0,"Stilton, Spinach and New Potato Quichewith Paprika and Walnut Pastry",Unknown
15,2,2,Tarts,Janet,F,63,0,8,0,0.0,0,0,0,0,Quiche Printanière,Red Fruit TartsChocolate and Cherry Tarts
16,2,2,Tarts,Jason,M,19,0,3,0,0.0,0,1,0,0,Salmon and Pak Choi Quiche,Mint Chocolate TartsBlueberry Bakewell Tarts
17,2,2,Tarts,Joanne,F,41,0,10,0,0.0,1,0,0,1,"Caramelised Onion, Gruyere and Thyme Quiche",Raspberry and Mascarpone Tarts with Lemon and Almond PastryHoney and Almond Tarts with Sweetcrust
19,2,2,Tarts,Mary-Anne,F,45,0,9,0,0.0,0,0,0,0,"Roasted Cauliflower, Cheese andCaramelised Onion Quiche",Butterscotch Brulée Tarts in Pecan PastryApple Rose Tarts
20,2,2,Tarts,Robert,M,25,0,5,0,0.0,1,0,0,0,Smoked Bacon and Kale Quiche,"Chocolate, Fennel and Ginger TartAlmond, Creme Patisserie and Poached Pear Tart"
21,2,2,Tarts,Simon,M,31,0,11,0,0.0,0,0,1,0,Smoked Haddock and Watercress Quiche,"Passion Fruit and Ricotta TartsSalted Chocolate, Stem Ginger and Mascarpone Cream Tarts"
22,2,2,Tarts,Urvashi,F,40,0,7,0,0.0,0,0,0,0,"Crab, Coriander and Coconut Quiche",Strawberry and Basil TartsElderflower and Honeycomb Tarts
23,2,2,Tarts,Yasmin,F,43,0,6,0,0.0,0,0,0,0,Smoked Haddock and Watercress Quiche,Chocolate and Orange with Cinnamon-Orange Pastry TartsBlueberry and Hazelnut with Hazelnut Pastry Tarts
24,2,3,Bread,Ben,M,31,0,3,0,0.0,0,0,0,0,"Walnut, Raisin and Rosemary Loaf",Unknown
25,2,3,Bread,Holly,F,31,0,6,0,0.0,0,0,0,0,Picnic Loaf,Stilton and Walnut Rolls
26,2,3,Bread,Ian,M,40,0,10,0,0.0,0,0,1,0,"Courgette, Caerphilly Cheese and Thyme Loaf",Walnut and Raisin RollsCracked Wheat Logs
27,2,3,Bread,Janet,F,63,0,8,0,0.0,1,0,0,0,Zupfe Loaf with Gruyère Cheese,Apple and Walnut Granary Rolls Red Onion Cottage Rolls
28,2,3,Bread,Jason,M,19,0,7,0,0.0,0,0,0,0,Cheese and Onion Tear and Share Loaf,Unknown
29,2,3,Bread,Joanne,F,41,0,1,0,0.0,0,0,0,1,"Stromboli flavored with Mozzarella, Ham, and Picante Pepper",Unknown
31,2,3,Bread,Mary-Anne,F,45,0,5,0,1.0,0,0,0,0,Ploughman's Loaf,Herb and Walnut BreadsChocolate and Chilli Buns
32,2,3,Bread,Robert,M,25,0,4,0,0.0,1,0,0,0,Rye and Coriander Seed Loaf,Blueberry Brioche RollsLemon and Poppy Seed Rolls
34,2,3,Bread,Urvashi,F,40,0,9,0,0.0,0,0,1,0,Salt and Peppercorn Loaf,Chilli and Halloumi RollsLemon and Coriander Mini Loaves
35,2,3,Bread,Yasmin,F,43,0,2,0,0.0,0,1,0,0,Egyptian Dukkah Loaf with Mixed Spices,Pesto BreadSweet Coconut Rolls
36,2,4,Biscuits,Ben,M,31,0,5,0,0.0,0,0,1,0,Stem Ginger Nuts,Chocolate and Almond MacaronsPine Nut MacaronsPistachio Macarons
37,2,4,Biscuits,Holly,F,31,0,3,0,0.0,0,1,0,0,Strawberry and Custard Melts,"'Chocolate bars of my youth'(Caramel Macarons, Mint Chocolate Macarons and Chocolate Orange Macarons)"
39,2,4,Biscuits,Janet,F,63,0,4,0,0.0,0,0,0,0,Christmas Marzipan Biscuits,Raspberry MacaronsBlackcurrant MacaronsAlmond Macarons
40,2,4,Biscuits,Jason,M,19,0,1,0,0.0,0,1,0,0,Lebkuchen,"Mocktail Macarons(Mojito, Cranberry Cooler, and Pina Colada)"
41,2,4,Biscuits,Joanne,F,41,0,8,0,0.0,0,0,0,1,Lavender Biscuits,Blueberry MacaronsCoconut MacaronsStrawberry Macarons
43,2,4,Biscuits,Mary-Anne,F,45,0,2,0,1.0,0,0,0,0,Melting Moments,Blackcurrant and Mint MacaronsGooseberry and Elderflower MacaronsHazelnut Macarons
44,2,4,Biscuits,Robert,M,25,0,7,0,0.0,0,0,0,0,Chocolate and Ginger Oat Biscuits,Strawberry and Lime MacaronsLemon MacaronsChocolate and Cardamom Macarons
47,2,4,Biscuits,Yasmin,F,43,0,6,0,0.0,1,0,0,0,Chocolate Chip and Pistachio Biscotti,Chocolate and Lime MacaronsCoffee and Walnut MacaronsPineapple and Coconut Macarons
49,2,5,Pie,Holly,F,31,0,4,0,0.0,0,0,0,0,"Stilton, Potato and Caramelised Onion Pie",Lime Meringue Pie
51,2,5,Pie,Janet,F,63,0,1,0,0.0,0,1,0,0,Chicken and Chestnut Pie,Rhubarb Meringue Pie
52,2,5,Pie,Jason,M,19,0,7,0,0.0,0,0,1,0,Brown Down Chicken Pie,Plum Meringue Pie
53,2,5,Pie,Joanne,F,41,0,6,0,0.0,0,0,0,1,Salmon and Asparagus Pie,Apple and Raspberry Meringue Pie
55,2,5,Pie,Mary-Anne,F,45,0,2,0,1.0,0,0,0,0,Chicken and Bacon Pie,Midnight Meringue
56,2,5,Pie,Robert,M,25,0,3,0,0.0,0,0,1,0,Chicken and Mushroom Pie,Rhubarb & Custard Meringue Pie
59,2,5,Pie,Yasmin,F,43,0,5,0,0.0,1,0,0,0,Family Fish Pie,Peach and Raspberry Meringue Pie
61,2,6,Dessert,Holly,F,31,0,3,0,0.0,1,0,0,0,Father Christmas' Baked Cheesecake,Hansel and Gretel's Croquembouche
63,2,6,Dessert,Janet,F,63,0,5,0,0.0,0,0,0,0,Rhubarb and Ginger Baked Cheesecake,Orange and Nougatine Croquembouche
65,2,6,Dessert,Joanne,F,41,0,1,0,0.0,0,1,0,1,Rum and Raisin Baked Cheesecake,Limoncello and White Chocolate Croquembouche
67,2,6,Dessert,Mary-Anne,F,45,0,4,0,1.0,0,0,0,0,Tutti Fruitti Curd Baked Cheesecake,Orange and Praline Croquembouche with Cardamom Caramel
71,2,6,Dessert,Yasmin,F,43,0,2,0,0.0,0,0,1,0,Baked Amaretto Cheesecake,Rose Croquembouche
73,2,7,Pâtisserie,Holly,F,31,0,1,0,1.0,0,0,0,0,"White Chocolate, Hazelnut and Raspberry Génoise Mousse Cake","Apricot, Macadamia and White Chocolate PinwheelsAlmond CroissantsApple, Raisin and Cinnamon Plaits"
75,2,7,Pâtisserie,Janet,F,63,0,4,0,0.0,0,0,1,0,Chocolate Amaretto Mousse Cake,Pain Aux RaisinPlain CroissantPain Au Chocolat
77,2,7,Pâtisserie,Joanne,F,41,0,3,0,1.0,0,0,0,1,Raspberry & Strawberry Mousse Cake,Pain Aux RaisinChocolate TwistsBanana and Raisin Pastries
79,2,7,Pâtisserie,Mary-Anne,F,45,0,2,0,0.0,1,0,0,0,Chocolate and Orange Mousse Cake,Raspberry Rose DanishesPraline SpiralsAlsatian Plaited Danishes
85,2,8,Final,Holly,F,31,0,2,0,0.0,0,0,1,0,Banoffee Inspired Mille Feuille,Strawberry and Cream Meringue NestGooseberry and Elderflower 'Bakewell' TartsNeapolitan Ice-Cream Sandwich
89,2,8,Final,Joanne,F,41,0,1,0,0.0,0,1,0,1,Raspberry and Blueberry Mille Feuille,"Mini Victoria SandwichesRaspberry, White Chocolate and Pistachio Mini MeringuesMini Banoffee Pie with Banana Mousse"
91,2,8,Final,Mary-Anne,F,45,0,3,0,0.0,0,0,1,0,Lemon and Ginger Mille Feuille,Fruit Tarts with Elderflower CustardStrawberry and Rhubarb CheesecakesBlack Fruit Meringue with Everlasting Syllabub
96,3,1,Cake,Brendan,M,63,0,10,0,0.0,0,0,0,0,"Plum, Sour Cherry & Walnut Upside Down Cake",St. Patrick's Day Cake with Hidden Irish Flag[12]
97,3,1,Cake,Cathryn,F,27,0,5,0,1.0,0,0,0,0,"Apple, Hazelnut and Calvados Upside Down Cake",Hidden Cupcake Cake
98,3,1,Cake,Danny,F,45,0,7,0,0.0,0,0,0,0,"Plum, Ginger & Orange Upside Down Cake",Nectar Cake with Hidden Beehive[13]
99,3,1,Cake,James,M,21,0,2,0,0.0,0,0,0,0,"Parsnip, Pear, and Pecan Upside Down Cake","""Simmer Dim"" Sunset Cake"
100,3,1,Cake,John,M,23,0,11,0,0.0,0,0,0,1,"Toffee Apple, Orange & Cranberry Upside Down Cake",Hidden Pink Hearts Cake
101,3,1,Cake,Manisha,F,27,0,6,0,0.0,0,0,0,0,"Vanilla, Peach and Raspberry Upside Down Cake",White Chocolate Cake with a Red Velvet and White Chocolate Mousse Heart
102,3,1,Cake,Natasha,F,36,0,12,0,0.0,1,0,1,0,Pineapple & Passion Fruit Upside Down Cake,Mother's Day Layered Rose Cake
103,3,1,Cake,Peter,M,43,0,3,0,0.0,0,0,0,0,"Pear, Muscat & Chocolate Upside Down Cake",Jubilee Cake
104,3,1,Cake,Ryan,M,38,0,8,0,0.0,0,0,0,0,Kumquat and Orange Polenta Upside Down Cake,Hidden Flowerbed Mousse Cake
105,3,1,Cake,Sarah-Jane,F,28,0,1,0,0.0,0,0,0,0,"Pear, Chocolate and Hazelnut Upside Down Cake",Hidden Crown Cake
106,3,1,Cake,Stuart,M,26,0,9,0,0.0,1,0,0,0,Tomato and Ginger Upside Down Cake,Lemon and Pistachio Union Flag Cake
107,3,1,Cake,Victoria,F,50,0,4,0,1.0,0,1,0,0,Pear and Pecan Upside Down Cake,Blackbird Pie Cake
108,3,2,Bread,Brendan,M,63,0,4,0,1.0,0,0,0,0,Middle Eastern Taboon BreadIndian Roti,Chocolate and Vanilla Bagels; Cumin and Gruyere Bagels
109,3,2,Bread,Cathryn,F,27,0,8,0,0.0,0,0,0,0,"Spiced Mango NaanLime, Coriander and Chilli Tortillas","Cranberry and Orange Bagels; Chipotle, Chilli, and Smoked Cheddar Bagels"
110,3,2,Bread,Danny,F,45,0,3,0,0.0,0,0,0,0,Lime Coriander and Coconut TortillasZaatar Naan with Dukkah,Unknown
111,3,2,Bread,James,M,21,0,2,0,1.0,0,0,0,0,"Tomato, Garlic, and Parmesan FlatbreadsTattie Scones","Orange, Mint and Chocolate Bagels; 'Millers' Sourdough Bagels"
112,3,2,Bread,John,M,23,0,1,0,1.0,0,1,0,1,"Coriander and Chilli RotisGarlic, Pomegranate and Potato Pitas","Fig, Walnut and Gruyere Bagels;   Blueberry and White Chocolate Bagels"
113,3,2,Bread,Manisha,F,27,0,6,0,0.0,0,0,0,0,Indian FlatbreadsItalian Flatbreads,Chocolate Orange Bagels
115,3,2,Bread,Peter,M,43,0,11,0,0.0,1,0,1,0,Fennel and Nigella Seed NaanBannock Bread,Rosemary and Sea Salt Bagels; Apple and Cinnamon Bagels
116,3,2,Bread,Ryan,M,38,0,5,0,0.0,0,0,0,0,Shanghai Spring Onion FlatbreadsGarlic and Coriander Naan,Cinnamon and Date Bagels; Tarragon and Rosemary Bagels
117,3,2,Bread,Sarah-Jane,F,28,0,10,0,0.0,0,0,0,0,Coconut RotiOatcakes,Unknown
118,3,2,Bread,Stuart,M,26,0,9,0,0.0,1,0,0,0,Bombay BreadChorizo and Spring Onion Naan,Cinnamon and Cranberry Bagels; Tomato and Thyme Bagels
119,3,2,Bread,Victoria,F,50,0,7,0,0.0,1,0,0,0,Coriander and Lemon NaanGarlic and Parsnip Chapatis,Saffron and Golden Raisin Bagels; Porcini Bagels
120,3,3,Tarts,Brendan,M,63,0,9,0,0.0,1,0,0,0,Apple and Ginger Tarte Tatin,"Blackberry, Nectarine and Dragon Fruit Tart"
121,3,3,Tarts,Cathryn,F,27,0,3,0,0.0,0,0,0,0,"Plum, Cherry and Five Spice Tarte Tatin","Raspberry, Pistachio and Lemon Tart"
122,3,3,Tarts,Danny,F,45,0,2,0,0.0,0,0,0,0,Savoury Pear and Roquefort Tarte Tatin,"Pineapple, Coconut and Frangipane Tart"
123,3,3,Tarts,James,M,21,0,1,0,1.0,0,1,0,0,Apple and Lavender Tarte Tatin,"Rose, Lychee and Raspberry Fruit Tart"
124,3,3,Tarts,John,M,23,0,6,0,0.0,0,0,0,1,Apple and Vanilla Tarte Tatin with Walnut Praline,"Berries, Grapes, Pomegranate, and Dragon Fruit Tart"
125,3,3,Tarts,Manisha,F,27,0,10,0,0.0,0,0,0,0,"Cinnamon, Apple and Pear Tarte Tatin",Rum and Tropical Fruit Tart
128,3,3,Tarts,Ryan,M,38,0,5,0,0.0,0,0,0,0,Spiced Pear Tarte Tatin,Unknown
129,3,3,Tarts,Sarah-Jane,F,28,0,8,0,0.0,0,0,0,0,Caramelised Banana Tarte Tatin,French Apple Tart with Blackberry and Cassis Jam
130,3,3,Tarts,Stuart,M,26,0,7,0,1.0,0,0,0,0,Pear and Almond Tarte Tatin,Raspberry Triple Chocolate Layered Tart
131,3,3,Tarts,Victoria,F,50,0,4,0,0.0,1,0,1,0,"Fig, Walnut and Pink Peppercorn Tarte Tatin",Tropical Fruit Tart with Black Pepper Crust
132,3,4,Dessert,Brendan,M,63,0,1,0,0.0,0,1,0,0,Clementine and Chestnut Torte,"Pear, Chocolate and Hazelnut Dacquoise"
133,3,4,Dessert,Cathryn,F,27,0,3,0,0.0,0,0,0,0,"White Chocolate, Macadamia and Coffee Torte","Gooseberry, Almond and Honey Meringue"
134,3,4,Dessert,Danny,F,45,0,2,0,1.0,0,0,0,0,"Blackberry, White Chocolate, Lemon and Elderflower Torte","'Monte Bianco' Chestnut, Chocolate and Coffee Dacquoise"
135,3,4,Dessert,James,M,21,0,5,0,0.0,0,0,0,0,"Hazelnut, Chocolate and Passionfruit Torte","Fig, Chestnut, Cherry and Chocolate Layered Meringue"
136,3,4,Dessert,John,M,23,0,6,0,0.0,0,0,0,1,'Torte Noir' Black Forest Torte with Boozy Cream,Elderflower and Bramble Berry Pavlova
137,3,4,Dessert,Manisha,F,27,0,9,0,0.0,1,0,0,0,"Almond, Chocolate and Cherry Torte",Tiramisu Layered Meringue Dessert
140,3,4,Dessert,Ryan,M,38,0,7,0,0.0,1,0,0,0,Green Tea Opera Torte,"Strawberry, Rose and Pistachio Meringue"
141,3,4,Dessert,Sarah-Jane,F,28,0,4,0,0.0,0,0,0,0,Chocolate and Almond Truffle Torte,Hazelnut Tiramisu Layered Meringue
142,3,4,Dessert,Stuart,M,26,0,8,0,0.0,0,0,1,0,Black Forest Torte,Choca Blocka Mocha Meringue
144,3,5,Pie,Brendan,M,63,0,3,0,1.0,0,0,0,0,Salmon Coulibiac in a Scandinavian Pastry,All American Chiffon Pie
145,3,5,Pie,Cathryn,F,27,0,1,0,0.0,0,0,0,0,Full English Wellington,Chocolate and Peanut Butter Pumpkin Pie
146,3,5,Pie,Danny,F,45,0,7,0,0.0,1,0,0,0,"Chickpea, Spinach & Mushroom Wellington",Trick or Treat Pumpkin Pie
147,3,5,Pie,James,M,21,0,6,0,0.0,0,0,0,0,Four Pig Wellington,Sweet Potato Pie
148,3,5,Pie,John,M,23,0,2,0,0.0,0,0,0,1,Venison and Haggis Wellington,Star Spangled Pecan Pie
149,3,5,Pie,Manisha,F,27,0,5,0,0.0,1,0,1,0,Lamb Wellington with Rosemary and Mint,Banana Scotch Pie
152,3,5,Pie,Ryan,M,38,0,8,0,1.0,0,1,0,0,Curry Spiced Seabass Wellington,Key Lime Pie
153,3,5,Pie,Sarah-Jane,F,28,0,4,0,0.0,1,0,0,0,Beef Wellington with Parma Ham and Gorgonzola Cheese,Chocolate and Banana Cream Pie
156,3,6,Pudding,Brendan,M,63,0,1,0,1.0,0,1,0,0,"Rhubarb, Strawberry and Ginger PuddingsSticky Toffee Puddings","Spinach, Cheese and Walnut Strudel"
157,3,6,Pudding,Cathryn,F,27,0,3,0,0.0,0,0,0,0,Chocolate Walnut Whip PuddingsElderflower Sponges,"Roasted Vegetable, Couscous and Sheep Cheese Strudel"
158,3,6,Pudding,Danny,F,45,0,2,0,1.0,0,0,0,0,Banoffee Puddings with Walnut Butterscotch SauceJubilee Chocolate Fondants,"Leek, Potato, Pistachio and Gruyère Strudel"
159,3,6,Pudding,James,M,21,0,7,0,0.0,1,0,0,0,Banana and Clove PuddingsClootie Dumplings,"Strawberry, Rhubarb and Ginger Strudel"
160,3,6,Pudding,John,M,23,0,5,0,0.0,1,0,0,1,Spicy Toffee PuddingsRaspberry and White Chocolate Puddings,Did not complete due to injury[1]
164,3,6,Pudding,Ryan,M,38,0,6,0,0.0,0,0,0,0,Chocolate FondantsSticky Ginger and Date Puddings,"Apple, Sour Cherry, Raisin and Mixed Nuts Strudel"
165,3,6,Pudding,Sarah-Jane,F,28,0,4,0,0.0,1,0,0,0,Sticky Toffee PuddingsGranny's Saucy Lemon Puddings,Sweet Strudel with Sour Cherries
168,3,7,Sweet Dough,Brendan,M,63,0,4,0,1.0,0,0,0,0,Chelsea Bunskis,Black Forest Christmas Stollen
169,3,7,Sweet Dough,Cathryn,F,27,0,5,0,0.0,1,0,0,0,Lady Arundel's Manchet Buns,Bonfire Night Tear 'N' Share Brioche
170,3,7,Sweet Dough,Danny,F,45,0,2,0,1.0,0,1,0,0,Bakewell Chelsea Buns,European Christmas Wreath
171,3,7,Sweet Dough,James,M,21,0,1,0,0.0,0,0,0,0,Easter Chelsea Buns,Whisky Kugelhopf-Brioche Baba
172,3,7,Sweet Dough,John,M,23,0,3,0,0.0,1,0,0,1,Cherry and Almond Saffron Buns,Marzipan Stollen
176,3,7,Sweet Dough,Ryan,M,38,1,6,0,0.0,0,0,1,0,Lardy Cakes,Char Siu Bao
177,3,7,Sweet Dough,Sarah-Jane,F,28,0,7,0,0.0,0,0,1,0,"Orange, Nutmeg and Saffron Buns",Sour Cherry and Dark Chocolate Christmas Plait
180,3,8,Biscuits,Brendan,M,63,0,2,0,0.5,0,0,0,0,Multi-Seed Savoury Crackers,Fantasy Gingerbread Bird House
181,3,8,Biscuits,Cathryn,F,27,0,5,0,0.0,0,0,1,0,Cheese and Pickle Crackers,Gingerbread Buckingham Palace
182,3,8,Biscuits,Danny,F,45,0,4,0,0.0,0,0,0,0,Spiced Almond Drinks Crackers,Gingerbread Big Ben
183,3,8,Biscuits,James,M,21,0,1,0,1.0,0,1,0,0,"Smoky Cayenne, Cumin and Chilli Crackers",Gingerbread Barn
184,3,8,Biscuits,John,M,23,0,3,0,1.0,0,0,0,1,Asian Spice Crackers,Gingerbread Roman Coliseum
192,3,9,Pâtisserie,Brendan,M,63,0,3,0,1.0,0,0,0,0,Coffee Meringue and Hazelnut CreamsApricot and Pistachio FriandsLime Curd Choux Pastry Cygnets,Gateau St. Honoré
194,3,9,Pâtisserie,Danny,F,45,0,4,0,0.0,1,0,1,0,Blackberry and Peppermint MacaronsMiniature Raspberry and Basil FinanciersOrange and White Chocolate Langues de Chat,Rosewater and Lychee St. Honoré
195,3,9,Pâtisserie,James,M,21,0,1,0,1.0,0,1,0,0,"Lemon and Rhubarb TartletsChocolate Indulgence Petits FoursChilli, Lime and Raspberry Macarons","Coffee, Caramel and Hazelnut Paris–Brest"
196,3,9,Pâtisserie,John,M,23,0,2,0,0.0,1,0,0,1,Lemon MadeleinesWhite Chocolate and Raspberry TartletsDark Chocolate and Cherry Macarons,Gateau St. Honoré a la Passion
204,3,10,Final,Brendan,M,63,0,2,0,0.0,0,0,1,0,Potato and Pepper Pithivier,Family Reunion Chiffon Cake
207,3,10,Final,James,M,21,0,1,0,0.0,0,0,1,0,Spanish Pithivier with Chorizo and Red Pepper,United Chiffon Cakes
208,3,10,Final,John,M,23,0,2,0,0.0,0,1,0,1,Italian Sausage and Roasted Vegetable Pithivier,Heaven and Hell Chiffon Cake
216,4,1,Cake,Ali,M,25,0,11,0,0.0,1,0,0,0,Rose and Pistachio Cake,"Chocolate, Raspberry and Passion Fruit Engagement Cake"
217,4,1,Cake,Beca,F,31,0,8,0,0.0,0,0,0,0,Grapefruit Sandwich Cake,Chocolate Cherry Indulgence
218,4,1,Cake,Christine,F,66,0,3,0,0.0,0,0,0,0,"Strawberry, Vanilla and Rosewater Summer Basket",Chocolate and Orange 'Fripperous' Hat Cake
219,4,1,Cake,Deborah,F,51,0,9,0,0.0,0,0,0,0,Pineapple Cake,'Coffee Time'
220,4,1,Cake,Frances,F,31,0,7,0,1.0,0,0,0,1,Giant Jam Sandwich,Secret Squirrel Cake
221,4,1,Cake,Glenn,M,37,0,4,0,0.0,0,0,0,0,Strawberries and Cream Cake,Almond and Espresso Chocolate Cake
222,4,1,Cake,Howard,M,51,0,6,0,1.0,0,0,0,0,Passion Fruit and Coconut Cake,Black Forest Revisited
223,4,1,Cake,Kimberley,F,30,0,10,0,0.0,0,0,0,0,Blood Orange Cake,"Chocolate, Raspberry & Basil Layer Cake"
224,4,1,Cake,Lucy,F,38,0,2,0,0.0,0,0,0,0,Timperley Early Cake,Thyme 'Wildwood' Cake
225,4,1,Cake,Mark,M,37,0,5,0,0.0,0,0,0,0,Lemon and Poppy Seed Cake,Chocolate Monster
226,4,1,Cake,Robert,M,54,0,1,0,1.0,0,1,0,0,Pecan and Apple Cake,Raspberry Chocolate Cake
227,4,1,Cake,Ruby,F,20,0,12,0,0.0,1,0,0,0,Rhubarb and Custard Sandwich Cake,Chocolate and Ginger Night Sky Cake
228,4,1,Cake,Toby,M,30,0,13,0,0.0,1,0,1,0,Spiced and Iced Carrot Cake,Two Tiered Chocolate Cake
229,4,2,Bread,Ali,M,25,0,9,0,0.0,0,0,0,0,Italian Grissini,Sweet and Savoury Yin Yang Bread
230,4,2,Bread,Beca,F,31,0,11,0,0.0,1,0,0,0,Fennel and Chilli Breadsticks,Five Strand Christmas Wreath
231,4,2,Bread,Christine,F,66,0,4,0,0.0,0,0,0,0,Mediterranean Breadsticks with Oregano,Double Plaited Loaf
232,4,2,Bread,Deborah,F,51,0,8,0,0.0,0,0,0,0,Fennel & Chilli Breadsticks,Walnut Fleur Loaf
233,4,2,Bread,Frances,F,31,0,2,0,0.0,0,0,0,1,Giant Matchsticks,Sailor's Knot
234,4,2,Bread,Glenn,M,37,0,7,0,0.0,0,0,0,0,Rosemary and Parmesan Grissini,Harvest Crown
235,4,2,Bread,Howard,M,51,0,10,0,0.0,0,0,0,0,Moroccan Breadsticks,Picasso Sun Bread
236,4,2,Bread,Kimberley,F,30,0,1,0,1.0,0,0,0,0,Nigella Seed and Parmesan Breadsticks,Peace Bread
237,4,2,Bread,Lucy,F,38,0,12,0,0.0,1,0,1,0,Grissini with Salt,Roasted Tomato Bread
238,4,2,Bread,Mark,M,37,0,6,0,0.0,1,0,0,0,Rosemary & Raisin Breadsticks,Sage and Garlic Plait
239,4,2,Bread,Robert,M,54,0,5,0,0.0,0,0,0,0,Twisty Rye Bread Sticks,Tribute Loaf
240,4,2,Bread,Ruby,F,20,0,3,0,1.0,0,1,0,0,Mexican Breadsticks,White Chocolate and Orange Peacock Bread
242,4,3,Dessert,Ali,M,25,0,5,0,0.0,0,0,0,0,"Coconut, Raspberry and Lemon Meringue Trifle",Vanilla Latte Mini CakesLime & Mint Shortbread Pops
243,4,3,Dessert,Beca,F,31,0,10,0,0.0,0,0,0,0,Orange and Ginger Trifle,Limoncello and Blueberry BurstsMillionaire Shortbread
244,4,3,Dessert,Christine,F,66,0,4,0,1.0,0,1,0,0,Caribbean Pina Colada Trifle,Ninety-NinersSachertorte Parcels
245,4,3,Dessert,Deborah,F,51,0,9,0,0.0,1,0,1,0,Tropical Trifle*,Canelé Cherry and Chocolate CakesRose Cookies
246,4,3,Dessert,Frances,F,31,0,8,0,0.0,0,0,0,1,Apple and Blackberry Crumble Trifle,'Ballet Bites' Ginger NutcrackersSugar Plum Fairy Cakes
247,4,3,Dessert,Glenn,M,37,0,1,0,0.0,0,0,0,0,Raspberry and Almond Trifle,Billionaire BouchéesOrange Financiers
248,4,3,Dessert,Howard,M,51,0,7,0,0.0,1,0,0,0,Caramel and Apple Trifle*,Black Coffee and Cardamom CakesWhite Stilton and Pear Biscuits
249,4,3,Dessert,Kimberley,F,30,0,6,0,0.0,0,0,0,0,"Peach, Almond and Ginger Trifle",Chocolate Pistachio FinanciersLemon Bergamot Biscuits
251,4,3,Dessert,Mark,M,37,0,11,0,0.0,1,0,1,0,"Ginger, Mango and Passion Fruit Trifle",Rose and Pistachio MacaronsChocolate and Raspberry Bites
252,4,3,Dessert,Robert,M,54,0,2,0,0.0,0,0,0,0,Rhubarb and Orange Trifle,Almond FriandsTurón Macarons
253,4,3,Dessert,Ruby,F,20,0,3,0,1.0,0,0,0,0,Desert Island Trifle,Lemon Shortbread and White Chocolate SeashellsBlackberry and Chocolate Layer Cakes
255,4,4,Pie and Tart,Ali,M,25,0,8,0,0.0,1,0,1,0,Apple and Ginger Pie with a Pecan and Walnut Shortcrust Pastry,"Orange, Cardamom and Date M'Hanncha"
256,4,4,Pie and Tart,Beca,F,31,0,2,0,0.0,0,0,0,0,Mamgu's Cherry-Apple Tart,Moroccan Vegetable Filo Feast
257,4,4,Pie and Tart,Christine,F,66,0,7,0,0.0,0,0,0,0,"Granny Rogers' Apple, Plum & Cinnamon Country Pie",Roasted Vegetable Filo Pie with Feta Cheese
259,4,4,Pie and Tart,Frances,F,31,0,1,0,0.0,0,0,0,1,Peach Pie In the Sky,Cherry Tree Baklava Filo Pie
260,4,4,Pie and Tart,Glenn,M,37,0,9,0,0.0,1,0,0,0,Apple & Maple Syrup Pie,Spanakopita
