,Season,Week_Number,Week_Name,Baker,Gender,Age,Signature_Handshake,Technical_Rank,Showstopper_Handshake,Favorite,Least_Favorite,Star_Baker,Eliminated,Winner,signature,showstopper
854,9,3,Bread,Jon,M,47,0,2,0,0.0,0,0,0,0,Cardiff City vs Chelsea Buns,Korovai Dydd Dewi Sant
855,9,3,Bread,Karen,F,60,0,5,0,0.0,0,0,0,0,Peak District Christmas Chelsea Buns,French Breakfast Wedding Korovai
856,9,3,Bread,Kim-Joy,F,27,0,10,0,0.0,0,0,0,0,Pistachio and Cardamom Tangzhong Chelsea Buns,"Orange, Cinnamon and Cranberry 'Kit-ovai'"
858,9,3,Bread,Manon,F,26,0,3,0,0.0,0,0,0,0,"Apricot, Cranberry and Marzipan Chai Chelsea Buns",Fabergé Inspired Traditional Korovai
859,9,3,Bread,Rahul,M,30,0,4,0,1.0,0,1,0,1,Mango and Cranberry Chelsea Buns,Garden Wedding Korovai
860,9,3,Bread,Ruby,F,29,0,7,0,0.0,0,0,0,0,"Gujarela Chelsea Buns with Dates, Almonds and Raisins",Mama and Papa's Belated Wedding Korovai
861,9,3,Bread,Terry,M,46,0,1,0,0.0,0,0,0,0,Tangy Citrus Sticky Chelsea Buns,Garden Korovai
863,9,4,Dessert,Briony,F,33,0,5,0,0.0,1,0,0,0,Treacle Tart Roulade,Blood Orange & Amaretto Sticky Toffee Sphere
864,9,4,Dessert,Dan,M,36,1,1,0,1.0,0,1,0,0,Florida Roulade,Dan and the Giant Peach
866,9,4,Dessert,Jon,M,47,1,3,0,1.0,0,0,0,0,Mango and Passion Fruit Roulade,Lucy and Hannah's Ballet Cake
867,9,4,Dessert,Karen,F,60,0,7,0,0.0,1,0,0,0,Coffee Cream and Praline Roulade,Chateau Du Chambord Framboise
868,9,4,Dessert,Kim-Joy,F,27,0,6,0,0.0,0,0,0,0,'Sweet Dreams' Roulade,Melting Chocolate Galaxy
870,9,4,Dessert,Manon,F,26,0,8,0,0.0,0,0,0,0,Amarene and Kirsch Cherry Roulade,White Chocolate Renaissance Surprise
871,9,4,Dessert,Rahul,M,30,0,4,0,1.0,0,0,0,1,Rhubarb and Custard Roulade,Opera Cake with Kalash Inspired Dome
872,9,4,Dessert,Ruby,F,29,0,2,0,0.0,0,0,0,0,Pina Colada Roulade,Chocolate Egg
875,9,5,Spice,Briony,F,33,0,6,0,0.0,1,0,0,0,Honey and Apricot Ginger Cake,Turmeric Latte Chandelier
876,9,5,Spice,Dan,M,36,0,2,0,0.0,0,0,0,0,Ginger and Lemon Drip Cake,Birthday Kaleidoscope for Constance
878,9,5,Spice,Jon,M,47,0,7,0,0.0,1,0,0,0,Family Christmas Ginger Cake,Birthday Chandelier for Emily's 21st
879,9,5,Spice,Karen,F,60,0,9,0,0.0,1,0,1,0,Bonfire Night Ginger Cake,Pontefract Girls' School Reunion
880,9,5,Spice,Kim-Joy,F,27,1,4,0,1.0,0,1,0,0,Stem Ginger Cake with Poached Pears,Christmas Spiced Ice Chandelier
882,9,5,Spice,Manon,F,26,1,5,0,0.0,0,0,0,0,Italian Meringue Ginger Cake,Art Deco Spiced Biscuit Chandelier
883,9,5,Spice,Rahul,M,30,1,3,0,1.0,0,0,0,1,Bonfire Night Caramel Ginger Cake,Durga Puja Cardamom Chandelier
884,9,5,Spice,Ruby,F,29,0,1,0,0.0,0,0,0,0,Jamaican Me Crazy Ginger Cake,Peacock Chandelier
885,9,5,Spice,Terry,M,46,0,8,0,0.0,1,0,1,0,Caramelised Pear and Stem Ginger Cake,12 Days of Christmas Chandelier
887,9,6,Pastry,Briony,F,33,0,1,0,1.0,0,1,0,0,Home Comforts,"""Down the Rabbit Hole"" Banquet Pie"
888,9,6,Pastry,Dan,M,36,0,6,0,0.0,1,0,1,0,Festive Samosas,Salmon Coulibiac
890,9,6,Pastry,Jon,M,47,0,2,0,0.0,0,0,0,0,"A Romantic Dinner For Two, Samosa Style",Welsh Dragon Pie
